K,Algoritmo,Rep,Custo_Total,Impacto_Ambiental,Tempo_Total_Segundos
13,MOEAD_AV,1,637.362413,3.386882,103.587
13,MOEAD_AV,1,637.363582,3.386304,103.587
13,MOEAD_AV,1,637.363665,3.386063,103.587
13,MOEAD_AV,1,637.364456,3.385926,103.587
13,MOEAD_AV,1,637.365958,3.378088,103.587
13,MOEAD_AV,1,637.366749,3.377951,103.587
13,MOEAD_AV,1,637.401645,3.374809,103.587
13,MOEAD_AV,1,637.402436,3.374672,103.587
13,MOEAD_AV,1,637.445724,3.374615,103.587
13,MOEAD_AV,1,637.448645,3.374520,103.587
13,MOEAD_AV,1,637.449961,3.373201,103.587
13,MOEAD_AV,1,637.450752,3.373064,103.587
13,MOEAD_AV,1,637.463385,3.372684,103.587
13,MOEAD_AV,1,637.469304,3.210196,103.587
13,MOEAD_AV,1,637.469919,3.174754,103.587
13,MOEAD_AV,1,637.472252,3.157776,103.587
13,MOEAD_AV,1,637.472867,3.114723,103.587
13,MOEAD_AV,1,637.477375,3.102508,103.587
13,MOEAD_AV,1,637.486497,3.102443,103.587
13,MOEAD_AV,1,637.487403,3.098581,103.587
13,MOEAD_AV,1,637.488594,3.075421,103.587
13,MOEAD_AV,1,637.494591,3.011208,103.587
13,MOEAD_AV,1,637.497850,3.002665,103.587
13,MOEAD_AV,1,637.499099,2.999834,103.587
13,MOEAD_AV,1,637.502792,2.984993,103.587
13,MOEAD_AV,1,637.505642,2.958631,103.587
13,MOEAD_AV,1,637.508901,2.951421,103.587
13,MOEAD_AV,1,637.510150,2.946416,103.587
13,MOEAD_AV,1,637.519272,2.939337,103.587
13,MOEAD_AV,1,637.530118,2.921679,103.587
13,MOEAD_AV,1,637.533377,2.913136,103.587
13,MOEAD_AV,1,637.534626,2.908287,103.587
13,MOEAD_AV,1,637.543748,2.900031,103.587
13,MOEAD_AV,1,637.556198,2.896843,103.587
13,MOEAD_AV,1,637.563518,2.887876,103.587
13,MOEAD_AV,1,637.599205,2.885774,103.587
13,MOEAD_AV,1,637.626591,2.883939,103.587
13,MOEAD_AV,1,637.660154,2.883787,103.587
13,MOEAD_AV,1,637.687540,2.881951,103.587
13,MOEAD_AV,1,637.735856,2.880343,103.587
13,MOEAD_AV,1,637.774409,2.879673,103.587
13,MOEAD_AV,1,637.782173,2.879435,103.587
13,MOEAD_AV,1,637.819218,2.879414,103.587
13,MOEAD_AV,1,637.888419,2.878846,103.587
13,MOEAD_AV,1,644.120077,2.877934,103.587
13,MOEAD_AV,1,644.153640,2.877782,103.587
13,MOEAD_AV,1,644.181026,2.875946,103.587
13,MOEAD_AV,1,644.227343,2.875039,103.587
13,MOEAD_AV,1,644.229342,2.874339,103.587
13,MOEAD_AV,1,644.267895,2.873669,103.587
13,MOEAD_AV,1,644.275659,2.873431,103.587
13,MOEAD_AV,1,644.312704,2.873410,103.587
13,MOEAD_AV,1,644.381905,2.872841,103.587
13,MOEAD_AV,1,645.050429,2.872461,103.587
13,MOEAD_AV,1,645.157695,2.868848,103.587
13,MOEAD_AV,1,645.195203,2.866854,103.587
13,MOEAD_AV,1,645.301317,2.858165,103.587
13,MOEAD_AV,1,645.302108,2.858028,103.587
13,MOEAD_AV,1,645.363057,2.856040,103.587
13,MOEAD_AV,1,645.427924,2.855527,103.587
13,MOEAD_AV,1,645.456756,2.855489,103.587
13,MOEAD_AV,1,645.483876,2.855402,103.587
13,MOEAD_AV,1,645.515620,2.854543,103.587
13,MOEAD_AV,1,645.601452,2.852559,103.587
13,MOEAD_AV,1,645.636975,2.852395,103.587
13,MOEAD_AV,1,645.640005,2.851889,103.587
13,MOEAD_AV,1,645.647769,2.851651,103.587
13,MOEAD_AV,1,645.684814,2.851630,103.587
13,MOEAD_AV,1,645.754015,2.851062,103.587
13,MOEAD_AV,1,645.826823,2.851048,103.587
13,MOEAD_AV,1,645.840470,2.850996,103.587
13,MOEAD_AV,1,645.901408,2.850435,103.587
13,MOEAD_AV,1,645.939961,2.849765,103.587
13,MOEAD_AV,1,646.022400,2.849733,103.587
13,MOEAD_AV,1,646.089945,2.849590,103.587
13,MOEAD_AV,1,646.126779,2.848923,103.587
13,MOEAD_AV,1,646.201457,2.848049,103.587
13,MOEAD_AV,1,646.225675,2.841491,103.587
13,MOEAD_AV,1,646.307571,2.838061,103.587
13,MOEAD_AV,1,646.411043,2.837060,103.587
13,MOEAD_AV,1,646.430503,2.835640,103.587
13,MOEAD_AV,1,646.446861,2.835127,103.587
13,MOEAD_AV,1,646.474429,2.831809,103.587
13,MOEAD_AV,1,646.476868,2.818773,103.587
13,MOEAD_AV,1,646.582982,2.814625,103.587
13,MOEAD_AV,1,646.646538,2.812572,103.587
13,MOEAD_AV,1,646.680245,2.812336,103.587
13,MOEAD_AV,1,646.683275,2.811830,103.587
13,MOEAD_AV,1,646.691039,2.811592,103.587
13,MOEAD_AV,1,646.822168,2.811006,103.587
13,MOEAD_AV,1,646.870093,2.810989,103.587
13,MOEAD_AV,1,646.884933,2.809091,103.587
13,MOEAD_AV,1,646.918640,2.808855,103.587
13,MOEAD_AV,1,646.940142,2.808843,103.587
13,MOEAD_AV,1,646.966479,2.808090,103.587
13,MOEAD_AV,1,647.085116,2.807972,103.587
13,MOEAD_AV,1,647.108488,2.807507,103.587
13,MOEAD_AV,1,647.184889,2.806966,103.587
13,MOEAD_AV,1,647.221626,2.806224,103.587
13,MOEAD_AV,1,647.266435,2.805965,103.587
13,MOEAD_AV,1,647.385072,2.805848,103.587
13,MOEAD_AV,1,647.408444,2.805383,103.587
13,MOEAD_AV,1,647.564080,2.805268,103.587
13,MOEAD_AV,1,647.788910,2.804800,103.587
13,MOEAD_AV,1,647.882499,2.804233,103.587
13,MOEAD_AV,1,647.923508,2.804221,103.587
13,MOEAD_AV,1,648.062262,2.803665,103.587
13,MOEAD_AV,1,648.274595,2.803304,103.587
13,MOEAD_AV,1,648.636433,2.803147,103.587
13,MOEAD_AV,1,648.779696,2.801987,103.587
13,MOEAD_AV,1,649.359449,2.801570,103.587
13,MOEAD_AV,1,649.643030,2.801229,103.587
13,MOEAD_AV,1,649.749276,2.800639,103.587
13,MOEAD_AV,1,649.799341,2.800425,103.587
13,MOEAD_AV,1,652.469837,2.800346,103.587
13,MOEAD_AV,1,653.661464,2.800003,103.587
13,MOEAD_AV,1,654.304908,2.799911,103.587
13,MOEAD_AV,1,654.409836,2.799642,103.587
13,MOEAD_AV,1,654.419871,2.799549,103.587
13,MOEAD_AV,1,654.828135,2.799286,103.587
13,MOEAD_AV,1,655.015632,2.798832,103.587
13,MOEAD_AV,1,657.007127,2.798771,103.587
13,MOEAD_AV,1,657.425426,2.798415,103.587
13,MOEAD_AV,1,658.784263,2.788055,103.587
13,MOEAD_AV,1,658.787017,2.783940,103.587
13,MOEAD_AV,1,658.913624,2.776761,103.587
13,MOEAD_AV,1,658.926307,2.776465,103.587
13,MOEAD_AV,1,659.310346,2.776407,103.587
13,MOEAD_AV,1,659.325368,2.773793,103.587
13,MOEAD_AV,1,660.012992,2.772215,103.587
13,MOEAD_AV,1,660.077700,2.770176,103.587
13,MOEAD_AV,1,660.519622,2.769091,103.587
13,MOEAD_AV,1,661.287115,2.768976,103.587
13,MOEAD_AV,1,661.434176,2.768010,103.587
13,MOEAD_AV,1,662.192012,2.767480,103.587
13,MOEAD_AV,1,662.438631,2.767311,103.587
13,MOEAD_AV,1,664.351997,2.767238,103.587
13,MOEAD_AV,1,665.196264,2.767182,103.587
13,MOEAD_AV,1,665.650996,2.766988,103.587
13,MOEAD_AV,1,667.401375,2.763562,103.587
13,MOEAD_AV,1,667.740678,2.758557,103.587
13,MOEAD_AV,1,668.079366,2.752282,103.587
13,MOEAD_AV,1,668.961696,2.748759,103.587
13,MOEAD_AV,1,669.388278,2.748328,103.587
13,MOEAD_AV,1,669.984127,2.747023,103.587
13,MOEAD_AV,1,670.515671,2.746888,103.587
13,MOEAD_AV,1,676.818404,2.743831,103.587
13,MOEAD_AV,1,677.643075,2.730316,103.587
13,MOEAD_AV,1,699.811052,2.729589,103.587
13,MOEAD_AV,1,700.297563,2.728657,103.587
13,MOEAD_AV,1,703.771127,2.728054,103.587
13,MOEAD_AV,1,704.918093,2.727064,103.587
13,MOEAD_AV,1,705.285409,2.726207,103.587
13,MOEAD_AV,1,1063.955766,2.722438,103.587
